id,name,IS_Sharpe,OOS_Sharpe,decay,IS_CAGR,OOS_CAGR,IS_MDD,OOS_MDD,Full_Sharpe,Full_CAGR,turnover,flag,quarantined,stub
s16,Book/Market,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
s17,Earnings Yield,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
s18,EV/EBITDA,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
s19,Piotroski,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
s20,Gross Profitability,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
s22,Accruals,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
s28,Short Straddle,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
s32,Dispersion,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
s33,Earnings IV Crush,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
s40,PEAD,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
s42,Insider Buying,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
s43,Analyst Revisions,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
s44,Merger Arb,,,,0.0,0.0,0.0,0.0,,0.0,0.0,STUB,False,True
